epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2004.01,0.8841,0.79725,1.0819,0.76822,0.7321,0.78126,0.54998,1.07534,1.07245,1.08913,0.0011882,0.0011882,0.0011882
43,2051.55,0.8771,0.78295,1.08284,0.79823,0.73896,0.79335,0.58353,1.04025,1.02724,1.05841,0.0011684,0.0011684,0.0011684
44,2098.74,0.88007,0.78642,1.08005,0.81955,0.71138,0.78384,0.57408,1.0222,1.01277,1.04125,0.0011486,0.0011486,0.0011486
45,2146.22,0.86927,0.77703,1.07725,0.83114,0.71161,0.78575,0.56889,1.04554,1.05177,1.05847,0.0011288,0.0011288,0.0011288
46,2193.77,0.88311,0.78644,1.0778,0.77634,0.73092,0.78598,0.56222,1.01352,1.06097,1.04234,0.001109,0.001109,0.001109
47,2241.02,0.86778,0.78249,1.06859,0.7643,0.74231,0.76755,0.56843,1.03479,1.00622,1.0812,0.0010892,0.0010892,0.0010892
48,2288.08,0.86357,0.76014,1.06806,0.82235,0.72289,0.79713,0.57756,1.02675,1.008,1.05825,0.0010694,0.0010694,0.0010694
49,2335.85,0.86449,0.76087,1.07002,0.84182,0.68273,0.79487,0.577,1.02591,1.03346,1.05294,0.0010496,0.0010496,0.0010496
50,2382.93,0.85421,0.75797,1.06436,0.76695,0.76707,0.80512,0.58575,1.01281,0.9979,1.03181,0.0010298,0.0010298,0.0010298
51,2430.22,0.8507,0.75446,1.06467,0.80696,0.75545,0.80323,0.59024,0.97939,0.99608,1.0408,0.00101,0.00101,0.00101
52,2477.46,0.83337,0.73784,1.05736,0.82295,0.71486,0.78828,0.57721,1.03033,1.00417,1.05532,0.0009902,0.0009902,0.0009902
53,2525.13,0.85248,0.74849,1.06291,0.87431,0.71084,0.79662,0.59256,1.02237,0.99303,1.07323,0.0009704,0.0009704,0.0009704
54,2572.55,0.83546,0.72767,1.05122,0.76477,0.75502,0.80062,0.58784,1.01328,0.99378,1.03431,0.0009506,0.0009506,0.0009506
55,2619.88,0.83557,0.71525,1.05711,0.87986,0.72289,0.80189,0.6032,0.98173,0.9937,1.00611,0.0009308,0.0009308,0.0009308
56,2667.1,0.83182,0.72786,1.05875,0.78783,0.7751,0.79543,0.60097,1.01582,0.98647,1.03995,0.000911,0.000911,0.000911
57,2714.62,0.84809,0.73495,1.0626,0.82585,0.70466,0.76093,0.56114,1.014,1.06313,1.05763,0.0008912,0.0008912,0.0008912
58,2762.1,0.83189,0.71791,1.06582,0.83527,0.76305,0.79529,0.58918,1.02454,1.02489,1.05341,0.0008714,0.0008714,0.0008714
59,2809.58,0.8241,0.71154,1.05399,0.84151,0.74633,0.80785,0.60241,0.98239,0.99823,1.04339,0.0008516,0.0008516,0.0008516
60,2856.86,0.81995,0.70946,1.0481,0.85058,0.71084,0.80801,0.59537,1.00086,1.00467,1.01026,0.0008318,0.0008318,0.0008318
61,2904.7,0.82621,0.7107,1.05393,0.81418,0.74297,0.80609,0.58328,1.00404,0.97065,1.0218,0.000812,0.000812,0.000812
62,2952.06,0.83064,0.70299,1.05144,0.8276,0.77114,0.81289,0.60982,0.98384,0.96131,1.03372,0.0007922,0.0007922,0.0007922
63,2999.44,0.80758,0.69201,1.04497,0.81053,0.74297,0.79134,0.58396,0.98534,0.96708,1.03515,0.0007724,0.0007724,0.0007724
64,3046.85,0.80149,0.68661,1.03848,0.84478,0.73092,0.81136,0.61877,0.94348,0.97715,1.00756,0.0007526,0.0007526,0.0007526
65,3094.03,0.81497,0.68378,1.04654,0.82575,0.70416,0.78178,0.59033,1.02852,1.02075,1.0531,0.0007328,0.0007328,0.0007328
66,3141.35,0.80443,0.68655,1.04266,0.83297,0.74297,0.79939,0.60107,1.02084,0.99311,1.06127,0.000713,0.000713,0.000713
67,3188.7,0.80457,0.68954,1.04166,0.82145,0.751,0.80695,0.61824,0.96037,0.91466,1.00579,0.0006932,0.0006932,0.0006932
68,3236.27,0.80198,0.67955,1.03631,0.84371,0.72289,0.79963,0.59365,0.99914,0.98721,1.04861,0.0006734,0.0006734,0.0006734
69,3284.02,0.79464,0.66832,1.03758,0.81819,0.74297,0.7946,0.58514,0.98416,0.9906,1.02549,0.0006536,0.0006536,0.0006536
70,3331.42,0.79032,0.65281,1.03107,0.85111,0.75904,0.80151,0.59391,0.98805,0.93944,1.02602,0.0006338,0.0006338,0.0006338
71,3379.62,0.78819,0.66951,1.03353,0.8665,0.6988,0.8014,0.60321,0.98042,0.97017,1.02432,0.000614,0.000614,0.000614
72,3426.91,0.77805,0.65416,1.02719,0.83767,0.72691,0.80346,0.61574,0.9446,0.98065,1.00906,0.0005942,0.0005942,0.0005942
